"sample","modFile","entityId","entityVisible","primitiveName","attrsJson","attr_L","attr_Array","attr_Normal"
"demo-substation","0011496c-cabc-4f8e-942c-0bad23449f0c.mod","931176","True","StretchedBody","{""L"":""2"",""Array"":""-239.166087824874,-207.62215974194,1718.75864486223;-239.166087824874,-207.62215974194,1706.64893561351;-255.284441941127,-207.62215974194,1706.64893561351;-255.284441941127,-207.62215974194,1718.75864486223;-251.558377556386,-207.62215974194,1718.75864486223;-251.558377556386,-207.62215974194,1710.37500000001;-242.892152209679,-207.62215974194,1710.37500000001;-242.892152209679,-207.62215974194,1718.75864486223;"",""Normal"":""3.73272344380113E-14,-304.8,0""}","2","-239.166087824874,-207.62215974194,1718.75864486223;-239.166087824874,-207.62215974194,1706.64893561351;-255.284441941127,-207.62215974194,1706.64893561351;-255.284441941127,-207.62215974194,1718.75864486223;-251.558377556386,-207.62215974194,1718.75864486223;-251.558377556386,-207.62215974194,1710.37500000001;-242.892152209679,-207.62215974194,1710.37500000001;-242.892152209679,-207.62215974194,1718.75864486223;","3.73272344380113E-14,-304.8,0"
"demo-substation","0011496c-cabc-4f8e-942c-0bad23449f0c.mod","931170","True","Cuboid","{""L"":""40"",""W"":""35"",""H"":""5""}","40",,
"demo-substation","0011496c-cabc-4f8e-942c-0bad23449f0c.mod","931171","True","Cuboid","{""L"":""40"",""W"":""10"",""H"":""5""}","40",,
"demo-substation","0011496c-cabc-4f8e-942c-0bad23449f0c.mod","931172","True","Cuboid","{""L"":""40"",""W"":""10"",""H"":""5""}","40",,
"demo-substation","0011496c-cabc-4f8e-942c-0bad23449f0c.mod","931173","True","Cuboid","{""L"":""40"",""W"":""2"",""H"":""5""}","40",,
"demo-substation","00179118-8aad-461d-b103-a72407748660.mod","2358853","True","StretchedBody","{""L"":""20.0000000000001"",""Array"":""50,100,0;50,-100,0;-50,-100,0;-50,100,0;"",""Normal"":""0,0,304.8""}","20.0000000000001","50,100,0;50,-100,0;-50,-100,0;-50,100,0;","0,0,304.8"
"demo-substation","001ed61e-70ce-4fa8-9422-a06fad2e855d.mod","1211480","True","Cuboid","{""L"":""25"",""W"":""55"",""H"":""20""}","25",,
"demo-substation","002947db-9ac3-49bc-81ae-303f8db85570.mod","353727","True","Cuboid","{""L"":""100"",""W"":""5"",""H"":""63""}","100",,
"demo-substation","004335d0-f7aa-40a3-acb7-696407c9639b.mod","1459498","True","Cuboid","{""L"":""100"",""W"":""5"",""H"":""54""}","100",,
"demo-substation","00615105-6a2b-4b6d-9be6-490cff1e5c6b.mod","2351387","True","StretchedBody","{""L"":""20"",""Array"":""-20,6.45975154645563E-14,0;-14.142135623731,-14.1421356237309,0;-9.24925889615762E-14,-20,0;14.1421356237309,-14.142135623731,0;20,-1.29267833467354E-13,0;20,-2.42675127472088E-17,0;14.142135623731,14.1421356237309,0;3.23100848945301E-14,20,0;-14.1421356237309,14.142135623731,0;-20,6.45975154645563E-14,0;"",""Normal"":""0,0,304.8""}","20","-20,6.45975154645563E-14,0;-14.142135623731,-14.1421356237309,0;-9.24925889615762E-14,-20,0;14.1421356237309,-14.142135623731,0;20,-1.29267833467354E-13,0;20,-2.42675127472088E-17,0;14.142135623731,14.1421356237309,0;3.23100848945301E-14,20,0;-14.1421356237309,14.142135623731,0;-20,6.45975154645563E-14,0;","0,0,304.8"
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155886","True","StretchedBody","{""L"":""30"",""Array"":""1292.25584472427,-321.542243538067,1718.18720213467;1292.25584472427,-321.542243538067,1714.89038033477;1292.25584472427,-318.962223894722,1712.31036069142;1292.25584472427,-312.62215974194,1712.31036069142;1292.25584472427,-312.62215974194,1747.31036069142;"",""Normal"":""-304.8,0,0""}","30","1292.25584472427,-321.542243538067,1718.18720213467;1292.25584472427,-321.542243538067,1714.89038033477;1292.25584472427,-318.962223894722,1712.31036069142;1292.25584472427,-312.62215974194,1712.31036069142;1292.25584472427,-312.62215974194,1747.31036069142;","-304.8,0,0"
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155833","True","Cuboid","{""L"":""100"",""W"":""5"",""H"":""200""}","100",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155882","True","Cuboid","{""L"":""70"",""W"":""5"",""H"":""80""}","70",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155894","True","Cuboid","{""L"":""30"",""W"":""5"",""H"":""30""}","30",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155896","True","Cylinder","{""R"":""5"",""H"":""2""}",,,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155897","True","Cuboid","{""L"":""30"",""W"":""5"",""H"":""30""}","30",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155898","True","Cylinder","{""R"":""5"",""H"":""2""}",,,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155899","True","Cuboid","{""L"":""30"",""W"":""5"",""H"":""30""}","30",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155900","True","Cylinder","{""R"":""5"",""H"":""2""}",,,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155904","True","Cuboid","{""L"":""30"",""W"":""5"",""H"":""30""}","30",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155905","True","Cylinder","{""R"":""5"",""H"":""2""}",,,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155906","True","Cuboid","{""L"":""30"",""W"":""5"",""H"":""30""}","30",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155907","True","Cylinder","{""R"":""5"",""H"":""2""}",,,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155908","True","Cuboid","{""L"":""30"",""W"":""5"",""H"":""30""}","30",,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155909","True","Cylinder","{""R"":""5"",""H"":""2""}",,,
"demo-substation","007ab637-b28d-44c5-9641-4adc8868bb1e.mod","1155912","True","Cuboid","{""L"":""40"",""W"":""5"",""H"":""50""}","40",,
"demo-substation","00969ce2-3c21-4970-aff3-8a5a4e87f9fa.mod","976880","True","Cuboid","{""L"":""100"",""W"":""5"",""H"":""95""}","100",,
"demo-substation","00c6a4b4-1209-4959-bee2-121516dd8da1.mod","1167691","True","Cuboid","{""L"":""350"",""W"":""102"",""H"":""350""}","350",,
"demo-substation","00ce0066-eb7e-403f-8056-b8015d55df47.mod","1405453","True","Cuboid","{""L"":""100"",""W"":""5"",""H"":""54""}","100",,
"demo-substation","00d1cb51-9459-4659-9547-60b1415fc015.mod","1127156","True","Cuboid","{""L"":""20"",""W"":""15"",""H"":""60""}","20",,
"demo-substation","00d1cb51-9459-4659-9547-60b1415fc015.mod","1127193","True","Cuboid","{""L"":""20"",""W"":""15"",""H"":""60""}","20",,
"demo-substation","00d1cb51-9459-4659-9547-60b1415fc015.mod","1127198","True","Cuboid","{""L"":""30"",""W"":""20"",""H"":""10""}","30",,
"demo-substation","00d1cb51-9459-4659-9547-60b1415fc015.mod","1127199","True","Cuboid","{""L"":""30"",""W"":""20"",""H"":""10""}","30",,
"demo-substation","00d1cb51-9459-4659-9547-60b1415fc015.mod","1127200","True","Cylinder","{""R"":""5"",""H"":""40""}",,,
"demo-substation","00dab2a9-40cc-40ab-b2e5-b95692bc79ff.mod","1756323","True","Cylinder","{""R"":""120"",""H"":""42""}",,,
"demo-substation","00dab2a9-40cc-40ab-b2e5-b95692bc79ff.mod","1756326","True","PorcelainBushing","{""R2"":""90"",""R"":""80"",""H"":""520"",""R1"":""110"",""N"":""4""}",,,
"demo-substation","00dab2a9-40cc-40ab-b2e5-b95692bc79ff.mod","1756329","True","Cylinder","{""R"":""40"",""H"":""80""}",,,
"demo-substation","00dab2a9-40cc-40ab-b2e5-b95692bc79ff.mod","1756332","True","Cylinder","{""R"":""55"",""H"":""100""}",,,
"demo-substation","00dab2a9-40cc-40ab-b2e5-b95692bc79ff.mod","1756335","True","TerminalBlock","{""Phase"":""ABC"",""CN"":""2"",""T"":""20"",""W"":""110"",""RN"":""3"",""CL"":""1"",""BL"":""40"",""L"":""195"",""CS"":""50"",""R"":""9"",""RS"":""50""}","195",,
"demo-substation","00ff121a-791a-44f8-be18-a1b79dac50ab.mod","591749","True","Cuboid","{""L"":""100"",""W"":""50"",""H"":""200""}","100",,
"demo-substation","00ff121a-791a-44f8-be18-a1b79dac50ab.mod","591759","True","Cuboid","{""L"":""40"",""W"":""70"",""H"":""5""}","40",,
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596734","True","StretchedBody","{""L"":""1112"",""Array"":""-60.7754664000022,549.33064510488,1149.5274307;-60.7754664000023,549.33064510488,1062.50801290001;-116.025890400008,549.33064510488,1062.50801290001;-116.025890400008,549.33064510488,1072.50801290001;-71.1349209000037,549.33064510488,1072.50801290001;-71.1349209000036,549.33064510488,1139.5274307;-116.025890400008,549.33064510488,1139.5274307;-116.025890400007,549.33064510488,1149.5274307;"",""Normal"":""0,-304.8,0""}","1112","-60.7754664000022,549.33064510488,1149.5274307;-60.7754664000023,549.33064510488,1062.50801290001;-116.025890400008,549.33064510488,1062.50801290001;-116.025890400008,549.33064510488,1072.50801290001;-71.1349209000037,549.33064510488,1072.50801290001;-71.1349209000036,549.33064510488,1139.5274307;-116.025890400008,549.33064510488,1139.5274307;-116.025890400007,549.33064510488,1149.5274307;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596745","True","StretchedBody","{""L"":""1112"",""Array"":""60.7754664000022,549.33064510488,1149.5274307;60.7754664000023,549.33064510488,1062.50801290001;116.025890400008,549.33064510488,1062.50801290001;116.025890400008,549.33064510488,1072.50801290001;71.1349209000037,549.33064510488,1072.50801290001;71.1349209000036,549.33064510488,1139.5274307;116.025890400008,549.33064510488,1139.5274307;116.025890400007,549.33064510488,1149.5274307;"",""Normal"":""0,-304.8,0""}","1112","60.7754664000022,549.33064510488,1149.5274307;60.7754664000023,549.33064510488,1062.50801290001;116.025890400008,549.33064510488,1062.50801290001;116.025890400008,549.33064510488,1072.50801290001;71.1349209000037,549.33064510488,1072.50801290001;71.1349209000036,549.33064510488,1139.5274307;116.025890400008,549.33064510488,1139.5274307;116.025890400007,549.33064510488,1149.5274307;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596756","True","StretchedBody","{""L"":""1112"",""Array"":""-120.99842856,549.33064510488,1079.08313982376;-120.99842856,549.33064510488,1149.5274307;-60.7754664000022,549.33064510488,1149.5274307;-60.7754664000022,549.33064510488,1154.08313982376;-124.49578039918,549.33064510488,1154.08313982376;-124.49578039918,549.33064510488,1079.08313982376;"",""Normal"":""0,-304.8,0""}","1112","-120.99842856,549.33064510488,1079.08313982376;-120.99842856,549.33064510488,1149.5274307;-60.7754664000022,549.33064510488,1149.5274307;-60.7754664000022,549.33064510488,1154.08313982376;-124.49578039918,549.33064510488,1154.08313982376;-124.49578039918,549.33064510488,1079.08313982376;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596765","True","StretchedBody","{""L"":""1112"",""Array"":""120.99842856,549.33064510488,1079.08313982376;120.99842856,549.33064510488,1149.5274307;60.7754664000022,549.33064510488,1149.5274307;60.7754664000022,549.33064510488,1154.08313982376;124.49578039918,549.33064510488,1154.08313982376;124.49578039918,549.33064510488,1079.08313982376;"",""Normal"":""0,-304.8,0""}","1112","120.99842856,549.33064510488,1079.08313982376;120.99842856,549.33064510488,1149.5274307;60.7754664000022,549.33064510488,1149.5274307;60.7754664000022,549.33064510488,1154.08313982376;124.49578039918,549.33064510488,1154.08313982376;124.49578039918,549.33064510488,1079.08313982376;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596774","True","StretchedBody","{""L"":""1112"",""Array"":""-52.4879028000067,549.33064510488,1135.71482470001;-44.2003392000042,549.33064510488,1135.71482470001;-44.2003392000044,549.33064510488,1008.36259738001;-52.4879028000069,549.33064510488,1008.36259738001;"",""Normal"":""0,-304.8,0""}","1112","-52.4879028000067,549.33064510488,1135.71482470001;-44.2003392000042,549.33064510488,1135.71482470001;-44.2003392000044,549.33064510488,1008.36259738001;-52.4879028000069,549.33064510488,1008.36259738001;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596781","True","StretchedBody","{""L"":""1112"",""Array"":""-52.4879028000067,549.33064510488,1135.71482470001;-52.4879028000067,549.33064510488,1076.3206189;-60.7754664000023,549.33064510488,1076.3206189;-60.7754664000022,549.33064510488,1135.71482470001;"",""Normal"":""0,-304.8,0""}","1112","-52.4879028000067,549.33064510488,1135.71482470001;-52.4879028000067,549.33064510488,1076.3206189;-60.7754664000023,549.33064510488,1076.3206189;-60.7754664000022,549.33064510488,1135.71482470001;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596788","True","StretchedBody","{""L"":""1112"",""Array"":""52.4879028000067,549.33064510488,1135.71482470001;44.2003392000042,549.33064510488,1135.71482470001;44.2003392000044,549.33064510488,1008.36259738001;52.4879028000069,549.33064510488,1008.36259738001;"",""Normal"":""0,-304.8,0""}","1112","52.4879028000067,549.33064510488,1135.71482470001;44.2003392000042,549.33064510488,1135.71482470001;44.2003392000044,549.33064510488,1008.36259738001;52.4879028000069,549.33064510488,1008.36259738001;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596795","True","StretchedBody","{""L"":""1112"",""Array"":""52.4879028000067,549.33064510488,1135.71482470001;52.4879028000067,549.33064510488,1076.3206189;60.7754664000023,549.33064510488,1076.3206189;60.7754664000022,549.33064510488,1135.71482470001;"",""Normal"":""0,-304.8,0""}","1112","52.4879028000067,549.33064510488,1135.71482470001;52.4879028000067,549.33064510488,1076.3206189;60.7754664000023,549.33064510488,1076.3206189;60.7754664000022,549.33064510488,1135.71482470001;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596802","True","StretchedBody","{""L"":""852.203258685078"",""Array"":""65.4957803991791,426.10162934266,1172.93419603194;65.4957803991791,426.10162934266,1154.08313982376;-60.7754664000022,426.10162934266,1154.08313982376;-65.4957803992063,426.10162934266,1154.08313982376;-65.4957803992063,426.10162934266,1172.93419603194;"",""Normal"":""0,-304.8,0""}","852.203258685078","65.4957803991791,426.10162934266,1172.93419603194;65.4957803991791,426.10162934266,1154.08313982376;-60.7754664000022,426.10162934266,1154.08313982376;-65.4957803992063,426.10162934266,1154.08313982376;-65.4957803992063,426.10162934266,1172.93419603194;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596810","True","StretchedBody","{""L"":""1112"",""Array"":""-52.4879028000068,549.33064510488,1014.1638919;-52.4879028000069,549.33064510488,1000.3512859;-150.157776484586,549.33064510488,1000.3512859;-150.157776484586,549.33064510488,1014.1638919;"",""Normal"":""0,-304.8,0""}","1112","-52.4879028000068,549.33064510488,1014.1638919;-52.4879028000069,549.33064510488,1000.3512859;-150.157776484586,549.33064510488,1000.3512859;-150.157776484586,549.33064510488,1014.1638919;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596817","True","StretchedBody","{""L"":""1112"",""Array"":""52.4879028000068,549.33064510488,1014.1638919;52.4879028000069,549.33064510488,1000.3512859;150.157776484586,549.33064510488,1000.3512859;150.157776484586,549.33064510488,1014.1638919;"",""Normal"":""0,-304.8,0""}","1112","52.4879028000068,549.33064510488,1014.1638919;52.4879028000069,549.33064510488,1000.3512859;150.157776484586,549.33064510488,1000.3512859;150.157776484586,549.33064510488,1014.1638919;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596824","True","StretchedBody","{""L"":""1112"",""Array"":""-74.5880724000017,549.33064510488,1167.93419603194;-74.5880724000017,549.33064510488,1160.5775155;-116.025890400007,549.33064510488,1160.5775155;-116.025890400007,549.33064510488,1167.93419603194;"",""Normal"":""0,-304.8,0""}","1112","-74.5880724000017,549.33064510488,1167.93419603194;-74.5880724000017,549.33064510488,1160.5775155;-116.025890400007,549.33064510488,1160.5775155;-116.025890400007,549.33064510488,1167.93419603194;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596831","True","StretchedBody","{""L"":""1112"",""Array"":""-74.5880724000017,549.33064510488,1160.5775155;-74.5880724000017,549.33064510488,1154.08313982376;-116.025890400007,549.33064510488,1154.08313982376;-116.025890400007,549.33064510488,1160.5775155;"",""Normal"":""0,-304.8,0""}","1112","-74.5880724000017,549.33064510488,1160.5775155;-74.5880724000017,549.33064510488,1154.08313982376;-116.025890400007,549.33064510488,1154.08313982376;-116.025890400007,549.33064510488,1160.5775155;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596838","True","StretchedBody","{""L"":""1112"",""Array"":""74.5880724000017,549.33064510488,1167.93419603194;74.5880724000017,549.33064510488,1160.5775155;116.025890400007,549.33064510488,1160.5775155;116.025890400007,549.33064510488,1167.93419603194;"",""Normal"":""0,-304.8,0""}","1112","74.5880724000017,549.33064510488,1167.93419603194;74.5880724000017,549.33064510488,1160.5775155;116.025890400007,549.33064510488,1160.5775155;116.025890400007,549.33064510488,1167.93419603194;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596845","True","StretchedBody","{""L"":""1112"",""Array"":""74.5880724000017,549.33064510488,1160.5775155;74.5880724000017,549.33064510488,1154.08313982376;116.025890400007,549.33064510488,1154.08313982376;116.025890400007,549.33064510488,1160.5775155;"",""Normal"":""0,-304.8,0""}","1112","74.5880724000017,549.33064510488,1160.5775155;74.5880724000017,549.33064510488,1154.08313982376;116.025890400007,549.33064510488,1154.08313982376;116.025890400007,549.33064510488,1160.5775155;","0,-304.8,0"
"demo-substation","0103ee0f-a82f-4cd6-bb84-ca576e96ab79.mod","1596877","True","StretchedBody","{""L"":""1112"",""Array"":""-44.1634856430075,549.33064510488,163.433041400007;-44.1634856430076,549.33064510488,62.1567270000014;-116.132038965359,549.33064510488,62.1567270000016;-116.132038965359,549.33064510488,83.6511024000067;-69.1634856430075,549.33064510488,83.6511024000065;-69.1634856430073,549.33064510488,143.651102400007;-116.132038965359,549.33064510488,143.651102400007;-116.132038965359,549.33064510488,163.433041400007;"",""Normal"":""0,-304.8,0""}","1112","-44.1634856430075,549.33064510488,163.433041400007;-44.1634856430076,549.33064510488,62.1567270000014;-116.132038965359,549.33064510488,62.1567270000016;-116.132038965359,549.33064510488,83.6511024000067;-69.1634856430075,549.33064510488,83.6511024000065;-69.1634856430073,549.33064510488,143.651102400007;-116.132038965359,549.33064510488,143.651102400007;-116.132038965359,549.33064510488,163.433041400007;","0,-304.8,0"
